department,Environment,subscription_name,resource_identifier,resource_type,resource_location,consecutive_days,description, potential monthly savings ,,,,,,
turkiz,prd,turkiz-starfish-soc60-prd-001,amittest,disks,westeurope,13,not attached to a vm,  28 ,,,"'amittest',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,nifi01_osdisk_1_41435ea204db43c7a7eb61944feb9f57,disks,westeurope,13,not attached to a vm,  28 ,,,"'nifi01_osdisk_1_41435ea204db43c7a7eb61944feb9f57',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzonosdisk,disks,westeurope,13,not attached to a vm,  28 ,,,"'luzonosdisk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-23f091ab-0e3e-4ee4-93e2-2222173304c8,disks,westeurope,13,not attached to a vm,  28 ,,,"'datacluster-f8mdw-dynamic-pvc-23f091ab-0e3e-4ee4-93e2-2222173304c8',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,sadabserver01_osdisk_1_edf1721c1db846909b58445ae06474f4,disks,germanywestcentral,13,not attached to a vm,  28 ,,,"'sadabserver01_osdisk_1_edf1721c1db846909b58445ae06474f4',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,miluim-fe-prod-vm1-shared-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'miluim-fe-prod-vm1-shared-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzoneventdisk,disks,westeurope,13,not attached to a vm,  28 ,,,"'luzoneventdisk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,voddc_disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'voddc_disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,miluim-app-prod-vm1-snapshot-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'miluim-app-prod-vm1-snapshot-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,amitgenkintest-shared-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'amitgenkintest-shared-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzalwaysppevent,disks,westeurope,13,not attached to a vm,  28 ,,,"'luzalwaysppevent',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzoneventclone_osdisk_1_bed9f12f357c47da830f9cafc200e0ef,disks,westeurope,13,not attached to a vm,  28 ,,,"'luzoneventclone_osdisk_1_bed9f12f357c47da830f9cafc200e0ef',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,miluim-fe-prod-vm2-shared-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'miluim-fe-prod-vm2-shared-disk',",,,"'turkiz-starfish-soc60-prd-001',"
olive,dev,olive-hina-maabedetmeamnim01-dev-001,testvm2_disk1_18a64b7e0b43449881e19a4c5e8add66,disks,westeurope,13,not attached to a vm,  28 ,,,"'testvm2_disk1_18a64b7e0b43449881e19a4c5e8add66',",,,"'olive-hina-maabedetmeamnim01-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,newsnapshotlotemdisk,disks,westeurope,13,not attached to a vm,  28 ,,,"'newsnapshotlotemdisk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,hakirot-host-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'hakirot-host-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,miluim-fe-prod-vm1-snapshot-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'miluim-fe-prod-vm1-snapshot-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,lotem_osdisk_1_169a2967129345398a8f152ef919038a,disks,westeurope,13,not attached to a vm,  28 ,,,"'lotem_osdisk_1_169a2967129345398a8f152ef919038a',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,soc-whatsapp-bot,disks,westeurope,13,not attached to a vm,  28 ,,,"'soc-whatsapp-bot',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,miluim-ks-prod-vm2-shared-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'miluim-ks-prod-vm2-shared-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,sadab-event-forwarder_osdisk_1_76b2c38aa2f245a79f2d4c9519b7f6cf,disks,germanywestcentral,13,not attached to a vm,  28 ,,,"'sadab-event-forwarder_osdisk_1_76b2c38aa2f245a79f2d4c9519b7f6cf',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,sadabserver1_osdisk_1_39b9959a04774c6a9f3ce0990f5fec5b,disks,germanywestcentral,13,not attached to a vm,  28 ,,,"'sadabserver1_osdisk_1_39b9959a04774c6a9f3ce0990f5fec5b',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,miluim-mandalo-prod-vm1-disk-shared,disks,westeurope,13,not attached to a vm,  28 ,,,"'miluim-mandalo-prod-vm1-disk-shared',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,sadabserver1_osdisk_1_bee94d64bc674c01b89f1dd383a030a5,disks,germanywestcentral,13,not attached to a vm,  28 ,,,"'sadabserver1_osdisk_1_bee94d64bc674c01b89f1dd383a030a5',",,,"'turkiz-key-bladeforce-dev-001',"
