"SUB_NAME","ID","NAME","LOCATION","RESOURCEGROUP"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/SadabServer1_OsDisk_1_628f6d3ce5604fec8373a6f6b169dc09","SadabServer1_OsDisk_1_628f6d3ce5604fec8373a6f6b169dc09","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/SadabServer1_OsDisk_1_bee94d64bc674c01b89f1dd383a030a5","SadabServer1_OsDisk_1_bee94d64bc674c01b89f1dd383a030a5","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/SadabServer2_OsDisk_1_9142184d258b4cfbac38d3e21b6a3e99","SadabServer2_OsDisk_1_9142184d258b4cfbac38d3e21b6a3e99","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/gitlab-runner-windows_DataDisk_0","gitlab-runner-windows_DataDisk_0","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/jenkins_OsDisk_1_0cdb6637ea06481081864ea598585d34","jenkins_OsDisk_1_0cdb6637ea06481081864ea598585d34","uksouth","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/mydisk","mydisk","germanywestcentral","newatlantis"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/NEWATLANTIS/providers/Microsoft.Compute/disks/sadab-event-forwarder_OsDisk_1_76b2c38aa2f245a79f2d4c9519b7f6cf","sadab-event-forwarder_OsDisk_1_76b2c38aa2f245a79f2d4c9519b7f6cf","germanywestcentral","newatlantis"
"Pink-Flamingo-M88-PRD-001","/subscriptions/eabe8199-5491-4908-95d8-cb3dc4243fbd/resourceGroups/IDFMP-WERGROUP/providers/Microsoft.Compute/disks/AndroidMDM_OsDisk_1_14b9baf5b8024b1296803edf0a78dc4a","AndroidMDM_OsDisk_1_14b9baf5b8024b1296803edf0a78dc4a","westus2","idfmp-wergroup"
"Pink-Flamingo-M88-PRD-001","/subscriptions/eabe8199-5491-4908-95d8-cb3dc4243fbd/resourceGroups/IDFMP-WERGROUP/providers/Microsoft.Compute/disks/hmakavfs","hmakavfs","westus2","idfmp-wergroup"
"Pink-Flamingo-GalatzArcive-PRD-001","/subscriptions/f6a85dce-2fab-4a32-8f76-12f24ffcbe6c/resourceGroups/NETAPP-EZRACHI-TLV-RG/providers/Microsoft.Compute/disks/Cloud-Restore-Instance-account-xIY5zrW6_OS__1_4e58ecbdce6c4f74924b76252649970d","Cloud-Restore-Instance-account-xIY5zrW6_OS__1_4e58ecbdce6c4f74924b76252649970d","westeurope","netapp-ezrachi-tlv-rg"
"Pink-Flamingo-GalatzArcive-PRD-001","/subscriptions/f6a85dce-2fab-4a32-8f76-12f24ffcbe6c/resourceGroups/NETAPP-EZRACHI-TLV-RG/providers/Microsoft.Compute/disks/Cloud-Restore-Instance-account-xIY5zrW6_disk2_8c907923ae7d40b987ad1a66075c2662","Cloud-Restore-Instance-account-xIY5zrW6_disk2_8c907923ae7d40b987ad1a66075c2662","westeurope","netapp-ezrachi-tlv-rg"
